order_date,number_of_orders,status_of_order,monetary_value,service_name
2016-01-03,10370,Cancelled,262465840,Uber_SHOP
2016-01-03,80,Cancelled,,Uber_TIX
2016-01-03,620,Completed,229783645,Uber_BOX
2016-01-03,210,Completed,33074860,Uber_CLEAN
2016-01-03,80590,Completed,1359740200,Uber_FOOD
2016-01-03,70,Completed,10756200,Uber_GLAM
2016-01-03,0,Completed,27300,Uber_KILAT
2016-01-03,3210,Completed,44935800,Uber_MART
2016-01-03,610,Completed,119873390,Uber_MASSAGE
2016-01-03,167840,Completed,3721508700,Uber_RIDE
2016-01-03,14240,Completed,526746220,Uber_SEND
2016-01-03,14390,Completed,341455660,Uber_SHOP
2016-01-03,0,Completed,,Uber_TIX
2016-01-03,0,Failed/Timeout,,Uber_TIX
2016-01-03,50,No Driver Found,37631230,Uber_BOX
2016-01-03,10,No Driver Found,664300,Uber_CLEAN
2016-01-03,1340,No Driver Found,28128100,Uber_FOOD
2016-01-03,30,No Driver Found,5068700,Uber_GLAM
2016-01-03,0,No Driver Found,36400,Uber_MART
2016-01-03,50,No Driver Found,9464000,Uber_MASSAGE
2016-01-03,810,No Driver Found,25387180,Uber_RIDE
2016-01-03,20,No Driver Found,980980,Uber_SEND
2016-01-03,60,No Driver Found,1466920,Uber_SHOP
2016-01-03,10,Other,172900,Uber_FOOD
2016-01-03,0,Other,18200,Uber_MART
2016-01-03,10,Other,196560,Uber_RIDE
2016-01-04,250,Cancelled,107114280,Uber_BOX
2016-01-04,10,Cancelled,1756300,Uber_CLEAN
2016-01-04,31980,Cancelled,551014100,Uber_FOOD
2016-01-04,10,Cancelled,1446900,Uber_GLAM
2016-01-04,0,Cancelled,54600,Uber_KILAT
2016-01-04,2230,Cancelled,31213000,Uber_MART
2016-01-04,60,Cancelled,10639720,Uber_MASSAGE
2016-01-04,51680,Cancelled,1254493240,Uber_RIDE
2016-01-04,5190,Cancelled,204997520,Uber_SEND
2016-01-04,12080,Cancelled,321306440,Uber_SHOP
2016-01-04,140,Cancelled,,Uber_TIX
2016-01-04,530,Completed,204307740,Uber_BOX
2016-01-04,160,Completed,25536420,Uber_CLEAN
2016-01-04,66340,Completed,1120100800,Uber_FOOD
2016-01-04,50,Completed,8517600,Uber_GLAM
2016-01-04,30,Completed,709800,Uber_KILAT
2016-01-04,2620,Completed,36654800,Uber_MART
2016-01-04,450,Completed,86796710,Uber_MASSAGE
2016-01-04,335510,Completed,7218069040,Uber_RIDE
2016-01-04,29530,Completed,1092309400,Uber_SEND
2016-01-04,15740,Completed,387175880,Uber_SHOP
2016-01-04,20,Completed,,Uber_TIX
2016-01-04,10,Failed/Timeout,,Uber_TIX
2016-01-04,40,No Driver Found,27654445,Uber_BOX
2016-01-04,0,No Driver Found,773500,Uber_CLEAN
2016-01-04,820,No Driver Found,17235400,Uber_FOOD
2016-01-04,10,No Driver Found,1847300,Uber_GLAM
2016-01-04,30,No Driver Found,5241600,Uber_MASSAGE
2016-01-04,640,No Driver Found,18374720,Uber_RIDE
2016-01-04,30,No Driver Found,1122940,Uber_SEND
2016-01-04,60,No Driver Found,1383200,Uber_SHOP
2016-01-04,30,Other,464100,Uber_FOOD
2016-01-04,0,Other,18200,Uber_MART
2016-01-04,500,Other,11367720,Uber_RIDE
2016-01-04,40,Other,1385020,Uber_SEND
2016-01-04,10,Other,269360,Uber_SHOP
2016-01-05,210,Cancelled,90296570,Uber_BOX
2016-01-05,20,Cancelled,2866500,Uber_CLEAN
2016-01-05,36830,Cancelled,643087900,Uber_FOOD
2016-01-05,10,Cancelled,1137500,Uber_GLAM
2016-01-05,0,Cancelled,81900,Uber_KILAT
2016-01-05,1790,Cancelled,25043200,Uber_MART
2016-01-05,60,Cancelled,11165700,Uber_MASSAGE
2016-01-05,56800,Cancelled,1324641500,Uber_RIDE
2016-01-05,5700,Cancelled,221359320,Uber_SEND
2016-01-05,12790,Cancelled,332450300,Uber_SHOP
2016-01-05,140,Cancelled,,Uber_TIX
2016-01-05,460,Completed,175245070,Uber_BOX
2016-01-05,150,Completed,24409840,Uber_CLEAN
2016-01-05,71380,Completed,1210827800,Uber_FOOD
2016-01-05,50,Completed,7739550,Uber_GLAM
2016-01-05,30,Completed,709800,Uber_KILAT
2016-01-05,2430,Completed,34015800,Uber_MART
2016-01-05,360,Completed,72084740,Uber_MASSAGE
2016-01-05,326610,Completed,6903733200,Uber_RIDE
2016-01-05,30090,Completed,1107662920,Uber_SEND
2016-01-05,17070,Completed,420578340,Uber_SHOP
2016-01-05,30,Completed,,Uber_TIX
2016-01-05,20,Failed/Timeout,,Uber_TIX
2016-01-05,50,No Driver Found,40354405,Uber_BOX
2016-01-05,20,No Driver Found,482300,Uber_FOOD
2016-01-05,10,No Driver Found,2529800,Uber_GLAM
2016-01-05,30,No Driver Found,6197100,Uber_MASSAGE
2016-01-05,4200,No Driver Found,85731100,Uber_RIDE
2016-01-05,130,No Driver Found,4262440,Uber_SEND
2016-01-05,20,No Driver Found,442260,Uber_SHOP
2016-01-05,1240,Other,25807600,Uber_FOOD
2016-01-05,0,Other,27300,Uber_KILAT
2016-01-05,0,Other,18200,Uber_MART
2016-01-05,0,Other,300300,Uber_MASSAGE
2016-01-05,740,Other,16778580,Uber_RIDE
2016-01-05,60,Other,2420600,Uber_SEND
2016-01-05,50,Other,1503320,Uber_SHOP
2016-01-06,190,Cancelled,74894820,Uber_BOX
2016-01-06,10,Cancelled,2466100,Uber_CLEAN
2016-01-06,36480,Cancelled,636326600,Uber_FOOD
2016-01-06,10,Cancelled,919100,Uber_GLAM
2016-01-06,0,Cancelled,27300,Uber_KILAT
2016-01-06,1850,Cancelled,25844000,Uber_MART
2016-01-06,50,Cancelled,10501400,Uber_MASSAGE
2016-01-06,56210,Cancelled,1310980580,Uber_RIDE
2016-01-06,5980,Cancelled,237489980,Uber_SEND
2016-01-06,12760,Cancelled,335016500,Uber_SHOP
2016-01-06,170,Cancelled,,Uber_TIX
2016-01-06,530,Completed,213135195,Uber_BOX
2016-01-06,130,Completed,21284900,Uber_CLEAN
2016-01-06,69770,Completed,1178804900,Uber_FOOD
2016-01-06,50,Completed,7957950,Uber_GLAM
2016-01-06,20,Completed,518700,Uber_KILAT
2016-01-06,2570,Completed,35981400,Uber_MART
2016-01-06,360,Completed,69726020,Uber_MASSAGE
2016-01-06,351810,Completed,7360100020,Uber_RIDE
2016-01-06,32010,Completed,1180064340,Uber_SEND
2016-01-06,17210,Completed,424151000,Uber_SHOP
2016-01-06,20,Completed,,Uber_TIX
2016-01-06,20,Failed/Timeout,273000,Uber_TIX
2016-01-06,70,No Driver Found,38929800,Uber_BOX
2016-01-06,10,No Driver Found,1537900,Uber_CLEAN
2016-01-06,1470,No Driver Found,30894500,Uber_FOOD
2016-01-06,10,No Driver Found,2502500,Uber_GLAM
2016-01-06,10,No Driver Found,127400,Uber_MART
2016-01-06,20,No Driver Found,3758300,Uber_MASSAGE
2016-01-06,1650,No Driver Found,37992500,Uber_RIDE
2016-01-06,90,No Driver Found,3339700,Uber_SEND
2016-01-06,70,No Driver Found,1885520,Uber_SHOP
2016-01-06,0,Other,45500,Uber_FOOD
2016-01-06,10,Other,176540,Uber_RIDE
2016-01-06,0,Other,45500,Uber_SEND
2016-01-06,0,Other,27300,Uber_SHOP
2016-01-07,200,Cancelled,83905185,Uber_BOX
2016-01-07,10,Cancelled,1947400,Uber_CLEAN
2016-01-07,33540,Cancelled,580307000,Uber_FOOD
2016-01-07,10,Cancelled,819000,Uber_GLAM
2016-01-07,0,Cancelled,54600,Uber_KILAT
2016-01-07,1510,Cancelled,21075600,Uber_MART
2016-01-07,50,Cancelled,10255700,Uber_MASSAGE
2016-01-07,66710,Cancelled,1494727780,Uber_RIDE
2016-01-07,7200,Cancelled,284804520,Uber_SEND
2016-01-07,11940,Cancelled,310664900,Uber_SHOP
2016-01-07,370,Cancelled,,Uber_TIX
2016-01-07,440,Completed,189356895,Uber_BOX
2016-01-07,120,Completed,17952480,Uber_CLEAN
2016-01-07,68630,Completed,1159558400,Uber_FOOD
2016-01-07,30,Completed,6106100,Uber_GLAM
2016-01-07,30,Completed,600600,Uber_KILAT
2016-01-07,2040,Completed,28592200,Uber_MART
2016-01-07,340,Completed,66606540,Uber_MASSAGE
2016-01-07,349780,Completed,7342427820,Uber_RIDE
2016-01-07,33000,Completed,1217767460,Uber_SEND
2016-01-07,16380,Completed,403852540,Uber_SHOP
2016-01-07,50,Completed,,Uber_TIX
2016-01-07,40,Failed/Timeout,,Uber_TIX
2016-01-07,30,No Driver Found,19274710,Uber_BOX
2016-01-07,1560,No Driver Found,32614400,Uber_FOOD
2016-01-07,20,No Driver Found,3822000,Uber_GLAM
2016-01-07,30,No Driver Found,4868500,Uber_MASSAGE
2016-01-07,10060,No Driver Found,212282980,Uber_RIDE
2016-01-07,550,No Driver Found,20884500,Uber_SEND
2016-01-07,40,No Driver Found,1350440,Uber_SHOP
2016-01-07,10,Other,238420,Uber_RIDE
2016-01-08,300,Cancelled,123198530,Uber_BOX
2016-01-08,0,Cancelled,391300,Uber_CLEAN
2016-01-08,35960,Cancelled,628600700,Uber_FOOD
2016-01-08,0,Cancelled,609700,Uber_GLAM
2016-01-08,10,Cancelled,109200,Uber_KILAT
2016-01-08,1920,Cancelled,26899600,Uber_MART
2016-01-08,40,Cancelled,7653100,Uber_MASSAGE
2016-01-08,64140,Cancelled,1475306560,Uber_RIDE
2016-01-08,6950,Cancelled,276470740,Uber_SEND
2016-01-08,13520,Cancelled,352230060,Uber_SHOP
2016-01-08,460,Cancelled,,Uber_TIX
2016-01-08,700,Completed,297318840,Uber_BOX
2016-01-08,110,Completed,18787860,Uber_CLEAN
2016-01-08,74460,Completed,1259713000,Uber_FOOD
2016-01-08,50,Completed,8781500,Uber_GLAM
2016-01-08,40,Completed,764400,Uber_KILAT
2016-01-08,2360,Completed,33051200,Uber_MART
2016-01-08,290,Completed,57129800,Uber_MASSAGE
2016-01-08,397650,Completed,8308940640,Uber_RIDE
2016-01-08,37000,Completed,1356899180,Uber_SEND
2016-01-08,17680,Completed,437002020,Uber_SHOP
2016-01-08,30,Completed,,Uber_TIX
2016-01-08,50,Failed/Timeout,,Uber_TIX
2016-01-08,70,No Driver Found,44452590,Uber_BOX
2016-01-08,0,No Driver Found,163800,Uber_CLEAN
2016-01-08,2340,No Driver Found,49112700,Uber_FOOD
2016-01-08,30,No Driver Found,5541900,Uber_GLAM
2016-01-08,10,No Driver Found,1219400,Uber_MASSAGE
2016-01-08,4490,No Driver Found,94874780,Uber_RIDE
2016-01-08,220,No Driver Found,8341060,Uber_SEND
2016-01-08,50,No Driver Found,1430520,Uber_SHOP
2016-01-08,0,Other,54600,Uber_FOOD
2016-01-08,20,Other,436800,Uber_RIDE
2016-01-08,0,Other,27300,Uber_SEND
2016-01-09,320,Cancelled,142122890,Uber_BOX
2016-01-09,30,Cancelled,4904900,Uber_CLEAN
2016-01-09,31730,Cancelled,558521600,Uber_FOOD
2016-01-09,10,Cancelled,1365000,Uber_GLAM
2016-01-09,10,Cancelled,191100,Uber_KILAT
2016-01-09,1680,Cancelled,23496200,Uber_MART
2016-01-09,70,Cancelled,12831000,Uber_MASSAGE
2016-01-09,56960,Cancelled,1371013280,Uber_RIDE
2016-01-09,4410,Cancelled,176314320,Uber_SEND
2016-01-09,13510,Cancelled,348100480,Uber_SHOP
2016-01-09,440,Cancelled,,Uber_TIX
2016-01-09,760,Completed,294996520,Uber_BOX
2016-01-09,210,Completed,35651980,Uber_CLEAN
2016-01-09,76850,Completed,1284119200,Uber_FOOD
2016-01-09,70,Completed,10874500,Uber_GLAM
2016-01-09,20,Completed,464100,Uber_KILAT
2016-01-09,2300,Completed,32159400,Uber_MART
2016-01-09,470,Completed,88687690,Uber_MASSAGE
2016-01-09,268050,Completed,5697076840,Uber_RIDE
2016-01-09,23800,Completed,882028420,Uber_SEND
2016-01-09,16950,Completed,413886200,Uber_SHOP
2016-01-09,40,Completed,,Uber_TIX
2016-01-09,50,Failed/Timeout,,Uber_TIX
2016-01-09,60,No Driver Found,39497185,Uber_BOX
2016-01-09,0,No Driver Found,737100,Uber_CLEAN
2016-01-09,2210,No Driver Found,45864000,Uber_FOOD
2016-01-09,30,No Driver Found,4935840,Uber_GLAM
2016-01-09,0,No Driver Found,27300,Uber_KILAT
2016-01-09,0,No Driver Found,18200,Uber_MART
2016-01-09,20,No Driver Found,3225040,Uber_MASSAGE
2016-01-09,2160,No Driver Found,52561600,Uber_RIDE
2016-01-09,240,No Driver Found,8548540,Uber_SEND
2016-01-09,110,No Driver Found,2717260,Uber_SHOP
2016-01-09,160,Other,3075800,Uber_FOOD
2016-01-09,0,Other,36400,Uber_MART
2016-01-09,1420,Other,33083960,Uber_RIDE
2016-01-09,50,Other,1845480,Uber_SEND
2016-01-09,50,Other,1190280,Uber_SHOP
2016-01-09,0,Other,,Uber_TIX
2016-01-10,250,Cancelled,108576650,Uber_BOX
2016-01-10,20,Cancelled,3549000,Uber_CLEAN
2016-01-10,39150,Cancelled,690926600,Uber_FOOD
2016-01-10,10,Cancelled,973700,Uber_GLAM
2016-01-10,10,Cancelled,109200,Uber_KILAT
2016-01-10,1690,Cancelled,23623600,Uber_MART
2016-01-10,90,Cancelled,16565640,Uber_MASSAGE
2016-01-10,35840,Cancelled,877569420,Uber_RIDE
2016-01-10,2730,Cancelled,105245140,Uber_SEND
2016-01-10,14460,Cancelled,359102380,Uber_SHOP
2016-01-10,370,Cancelled,,Uber_TIX
2016-01-10,670,Completed,261310140,Uber_BOX
2016-01-10,170,Completed,27563900,Uber_CLEAN
2016-01-10,80880,Completed,1358165900,Uber_FOOD
2016-01-10,60,Completed,10000900,Uber_GLAM
2016-01-10,10,Completed,136500,Uber_KILAT
2016-01-10,2620,Completed,36636600,Uber_MART
2016-01-10,610,Completed,112738080,Uber_MASSAGE
2016-01-10,189170,Completed,4056925600,Uber_RIDE
2016-01-10,16630,Completed,612604720,Uber_SEND
2016-01-10,16500,Completed,390817700,Uber_SHOP
2016-01-10,10,Completed,,Uber_TIX
2016-01-10,30,Failed/Timeout,,Uber_TIX
2016-01-10,50,No Driver Found,46344935,Uber_BOX
2016-01-10,20,No Driver Found,3430700,Uber_CLEAN
2016-01-10,760,No Driver Found,15861300,Uber_FOOD
2016-01-10,20,No Driver Found,4495400,Uber_GLAM
2016-01-10,50,No Driver Found,9635080,Uber_MASSAGE
2016-01-10,910,No Driver Found,25303460,Uber_RIDE
2016-01-10,40,No Driver Found,1476020,Uber_SEND
2016-01-10,30,No Driver Found,973700,Uber_SHOP
2016-01-11,280,Cancelled,143598000,Uber_BOX
2016-01-11,10,Cancelled,2329600,Uber_CLEAN
2016-01-11,35850,Cancelled,631885800,Uber_FOOD
2016-01-11,10,Cancelled,1137500,Uber_GLAM
2016-01-11,10,Cancelled,109200,Uber_KILAT
2016-01-11,1590,Cancelled,22313200,Uber_MART
2016-01-11,50,Cancelled,9997260,Uber_MASSAGE
2016-01-11,68950,Cancelled,1571731980,Uber_RIDE
2016-01-11,5870,Cancelled,229387340,Uber_SEND
2016-01-11,13210,Cancelled,351629460,Uber_SHOP
2016-01-11,290,Cancelled,,Uber_TIX
2016-01-11,540,Completed,215364240,Uber_BOX
2016-01-11,120,Completed,19912620,Uber_CLEAN
2016-01-11,64580,Completed,1089069800,Uber_FOOD
2016-01-11,40,Completed,5651100,Uber_GLAM
2016-01-11,50,Completed,1037400,Uber_KILAT
2016-01-11,2320,Completed,32505200,Uber_MART
2016-01-11,370,Completed,72525180,Uber_MASSAGE
2016-01-11,370310,Completed,7729862140,Uber_RIDE
2016-01-11,33890,Completed,1239345380,Uber_SEND
2016-01-11,16780,Completed,412250020,Uber_SHOP
2016-01-11,10,Completed,,Uber_TIX
2016-01-11,30,Failed/Timeout,273000,Uber_TIX
2016-01-11,20,No Driver Found,12871040,Uber_BOX
2016-01-11,0,No Driver Found,273000,Uber_CLEAN
2016-01-11,350,No Driver Found,7371000,Uber_FOOD
2016-01-11,10,No Driver Found,1911000,Uber_GLAM
2016-01-11,10,No Driver Found,109200,Uber_KILAT
2016-01-11,10,No Driver Found,72800,Uber_MART
2016-01-11,20,No Driver Found,3458000,Uber_MASSAGE
2016-01-11,10650,No Driver Found,224595280,Uber_RIDE
2016-01-11,370,No Driver Found,12499760,Uber_SEND
2016-01-11,60,No Driver Found,1359540,Uber_SHOP
2016-01-11,20,Other,573300,Uber_RIDE
2016-01-11,0,Other,,Uber_TIX
2016-01-12,320,Cancelled,152468225,Uber_BOX
2016-01-12,10,Cancelled,2038400,Uber_CLEAN
2016-01-12,37370,Cancelled,656264700,Uber_FOOD
2016-01-12,0,Cancelled,455000,Uber_GLAM
2016-01-12,10,Cancelled,109200,Uber_KILAT
2016-01-12,1430,Cancelled,20038200,Uber_MART
2016-01-12,50,Cancelled,8517600,Uber_MASSAGE
2016-01-12,59960,Cancelled,1353279200,Uber_RIDE
2016-01-12,5690,Cancelled,220753260,Uber_SEND
2016-01-12,12900,Cancelled,334568780,Uber_SHOP
2016-01-12,260,Cancelled,,Uber_TIX
2016-01-12,480,Completed,185987620,Uber_BOX
2016-01-12,100,Completed,16716700,Uber_CLEAN
2016-01-12,68350,Completed,1156673700,Uber_FOOD
2016-01-12,40,Completed,5469100,Uber_GLAM
2016-01-12,50,Completed,1146600,Uber_KILAT
2016-01-12,2130,Completed,29757000,Uber_MART
2016-01-12,310,Completed,60183760,Uber_MASSAGE
2016-01-12,348740,Completed,7184298940,Uber_RIDE
2016-01-12,32430,Completed,1182981800,Uber_SEND
2016-01-12,17390,Completed,426571600,Uber_SHOP
2016-01-12,20,Completed,139230,Uber_TIX
2016-01-12,40,Failed/Timeout,91000,Uber_TIX
2016-01-12,30,No Driver Found,20497750,Uber_BOX
2016-01-12,0,No Driver Found,118300,Uber_CLEAN
2016-01-12,30,No Driver Found,591500,Uber_FOOD
2016-01-12,0,No Driver Found,309400,Uber_GLAM
2016-01-12,0,No Driver Found,18200,Uber_MART
2016-01-12,10,No Driver Found,2766400,Uber_MASSAGE
2016-01-12,8750,No Driver Found,180382020,Uber_RIDE
2016-01-12,480,No Driver Found,16467360,Uber_SEND
2016-01-12,30,No Driver Found,977340,Uber_SHOP
2016-01-12,0,Other,18200,Uber_FOOD
2016-01-12,10,Other,1010100,Uber_MASSAGE
2016-01-12,10,Other,196560,Uber_RIDE
2016-01-12,0,Other,76440,Uber_SEND
2016-01-12,0,Other,32760,Uber_SHOP
2016-01-13,290,Cancelled,135244655,Uber_BOX
2016-01-13,20,Cancelled,3394300,Uber_CLEAN
2016-01-13,40270,Cancelled,705841500,Uber_FOOD
2016-01-13,10,Cancelled,1328600,Uber_GLAM
2016-01-13,0,Cancelled,27300,Uber_KILAT
2016-01-13,1670,Cancelled,23332400,Uber_MART
2016-01-13,60,Cancelled,11857300,Uber_MASSAGE
2016-01-13,69100,Cancelled,1533508340,Uber_RIDE
2016-01-13,5840,Cancelled,228683000,Uber_SEND
2016-01-13,13430,Cancelled,349068720,Uber_SHOP
2016-01-13,270,Cancelled,,Uber_TIX
2016-01-13,510,Completed,192837190,Uber_BOX
2016-01-13,90,Completed,15735720,Uber_CLEAN
2016-01-13,72150,Completed,1222557700,Uber_FOOD
2016-01-13,30,Completed,5432700,Uber_GLAM
2016-01-13,70,Completed,1419600,Uber_KILAT
2016-01-13,2460,Completed,34379800,Uber_MART
2016-01-13,290,Completed,54479880,Uber_MASSAGE
2016-01-13,354780,Completed,7310828980,Uber_RIDE
2016-01-13,33520,Completed,1226760080,Uber_SEND
2016-01-13,19160,Completed,467523420,Uber_SHOP
2016-01-13,20,Completed,10920,Uber_TIX
2016-01-13,20,Failed/Timeout,1365,Uber_TIX
2016-01-13,20,No Driver Found,15126475,Uber_BOX
2016-01-13,30,No Driver Found,573300,Uber_FOOD
2016-01-13,10,No Driver Found,1801800,Uber_GLAM
2016-01-13,0,No Driver Found,54600,Uber_KILAT
2016-01-13,10,No Driver Found,937300,Uber_MASSAGE
2016-01-13,23960,No Driver Found,478283260,Uber_RIDE
2016-01-13,720,No Driver Found,24722880,Uber_SEND
2016-01-13,20,No Driver Found,609700,Uber_SHOP
2016-01-13,0,Other,27300,Uber_FOOD
2016-01-13,10,Other,189280,Uber_RIDE
2016-01-13,0,Other,45500,Uber_SEND
2016-01-13,0,Other,60060,Uber_SHOP
2016-01-14,330,Cancelled,172153800,Uber_BOX
2016-01-14,10,Cancelled,2475200,Uber_CLEAN
2016-01-14,30500,Cancelled,529583600,Uber_FOOD
2016-01-14,10,Cancelled,855400,Uber_GLAM
2016-01-14,1380,Cancelled,19346600,Uber_MART
2016-01-14,60,Cancelled,10910900,Uber_MASSAGE
2016-01-14,74610,Cancelled,698434100,Uber_RIDE
2016-01-14,5350,Cancelled,212956380,Uber_SEND
2016-01-14,10650,Cancelled,277888520,Uber_SHOP
2016-01-14,230,Cancelled,,Uber_TIX
2016-01-14,530,Completed,203928270,Uber_BOX
2016-01-14,100,Completed,17948840,Uber_CLEAN
2016-01-14,73880,Completed,1235825500,Uber_FOOD
2016-01-14,60,Completed,9624160,Uber_GLAM
2016-01-14,60,Completed,1228500,Uber_KILAT
2016-01-14,2280,Completed,31850000,Uber_MART
2016-01-14,330,Completed,66308060,Uber_MASSAGE
2016-01-14,397700,Completed,4611011860,Uber_RIDE
2016-01-14,32130,Completed,1183930020,Uber_SEND
2016-01-14,17580,Completed,433241900,Uber_SHOP
2016-01-14,30,Completed,192920,Uber_TIX
2016-01-14,40,Failed/Timeout,145600,Uber_TIX
2016-01-14,20,No Driver Found,9843470,Uber_BOX
2016-01-14,30,No Driver Found,627900,Uber_FOOD
2016-01-14,20,No Driver Found,4659200,Uber_GLAM
2016-01-14,10,No Driver Found,2256800,Uber_MASSAGE
2016-01-14,27710,No Driver Found,9829820,Uber_RIDE
2016-01-14,660,No Driver Found,25414480,Uber_SEND
2016-01-14,20,No Driver Found,582400,Uber_SHOP
2016-01-14,20,Other,364000,Uber_FOOD
2016-01-14,0,Other,54600,Uber_MART
2016-01-14,50,Other,877240,Uber_RIDE
2016-01-14,0,Other,123760,Uber_SEND
2016-01-14,10,Other,318500,Uber_SHOP
2016-01-15,270,Cancelled,143052455,Uber_BOX
2016-01-15,30,Cancelled,4557280,Uber_CLEAN
2016-01-15,28400,Cancelled,493074400,Uber_FOOD
2016-01-15,10,Cancelled,1019200,Uber_GLAM
2016-01-15,1390,Cancelled,19492200,Uber_MART
2016-01-15,40,Cancelled,7926100,Uber_MASSAGE
2016-01-15,61900,Cancelled,1382522960,Uber_RIDE
2016-01-15,6130,Cancelled,241989020,Uber_SEND
2016-01-15,11340,Cancelled,291593120,Uber_SHOP
2016-01-15,260,Cancelled,,Uber_TIX
2016-01-15,650,Completed,255906560,Uber_BOX
2016-01-15,120,Completed,19180980,Uber_CLEAN
2016-01-15,70250,Completed,1173809000,Uber_FOOD
2016-01-15,70,Completed,11657100,Uber_GLAM
2016-01-15,50,Completed,1092000,Uber_KILAT
2016-01-15,2190,Completed,30667000,Uber_MART
2016-01-15,310,Completed,60767980,Uber_MASSAGE
2016-01-15,387680,Completed,7987521360,Uber_RIDE
2016-01-15,37170,Completed,1372189000,Uber_SEND
2016-01-15,17690,Completed,440538280,Uber_SHOP
2016-01-15,30,Completed,121485,Uber_TIX
2016-01-15,30,Failed/Timeout,19110,Uber_TIX
2016-01-15,50,No Driver Found,41656615,Uber_BOX
2016-01-15,0,No Driver Found,873600,Uber_CLEAN
2016-01-15,50,No Driver Found,910000,Uber_FOOD
